Airport,PR_Before,PR_After,Drop,Drop_Pct
RSW,0.00893880604897823,0.00875772219649289,0.00018108385248533955,2.0258169994195
RDU,0.010699839057142457,0.010537204205853658,0.00016263485128879818,1.5199747437344362
MSY,0.012658561173283083,0.012517106129091718,0.0001414550441913645,1.117465423241915
IND,0.009230032493237096,0.009110345290603256,0.00011968720263384053,1.2967148568711553
TPA,0.016810804107830264,0.01684603693815797,-3.523283032770552e-05,-0.2095844440379536
MKE,0.010179838808084178,0.010346854146550167,-0.00016701533846598914,-1.640648163636503
FLL,0.01891622458655085,0.019121759077447703,-0.0002055344908968547,-1.0865513356348424
SAT,0.010149229515879425,0.010370657765134222,-0.00022142824925479657,-2.181724720170642
PHL,0.01841237779436822,0.018746064484048953,-0.00033368668968073237,-1.812295475399146
IAD,0.010912918717349958,0.011271998703659842,-0.00035907998630988446,-3.2904119934385596
HOU,0.013474384607122619,0.013847044818714054,-0.0003726602115914357,-2.7656937400647292
MCI,0.012508120064475523,0.012881209943386599,-0.0003730898789110759,-2.982781401105138
13930,0.02,0.020408163265306124,-0.0004081632653061239,-2.0408163265306194
10397,0.02,0.020408163265306124,-0.0004081632653061239,-2.0408163265306194
CLE,0.011418255702242744,0.011844074322117324,-0.00042581861987458017,-3.729279068351412
SJU,0.008687576430231356,0.009129425820583851,-0.0004418493903524945,-5.08599140279135
HNL,0.007127828226514669,0.007570367956021024,-0.0004425397295063551,-6.208619448209487
AUS,0.012879133830349653,0.01335395494211058,-0.00047482111176092717,-3.686747245703839
BWI,0.018163095630282757,0.018714869115571145,-0.0005517734852883878,-3.0378823991238213
STL,0.014017659507631416,0.014597119611818808,-0.0005794601041873917,-4.133786413287648
BNA,0.013922821008065092,0.014583229268750872,-0.0006604082606857797,-4.743350936589819
DCA,0.020413040964044758,0.021085113300769766,-0.0006720723367250082,-3.292367550277232
MIA,0.018359589069261228,0.01907657478842288,-0.0007169857191616537,-3.9052383822798955
LGA,0.024181634664823905,0.0249138240754875,-0.0007321894106635946,-3.02787392503569
SMF,0.010881492037726705,0.011697249310808065,-0.0008157572730813599,-7.4967409823311595
SNA,0.012302239832607203,0.013161048885180743,-0.0008588090525735396,-6.980916192978599
MCO,0.02576344492649706,0.026643858225846466,-0.0008804132993494064,-3.417296490672035
DAL,0.015323238008796208,0.016255801032052875,-0.0009325630232566665,-6.085939686646742
SJC,0.011362566350418834,0.012297640179660198,-0.0009350738292413646,-8.229424589515352
MDW,0.01887443992740958,0.019813000263499254,-0.0009385603360896749,-4.9726526439955006
PDX,0.013376363543223893,0.014332990031375323,-0.0009566264881514294,-7.151618487791704
OAK,0.011018580727646991,0.011978051030727216,-0.0009594703030802246,-8.707748545806759
CLT,0.02399604275979287,0.02519198086809974,-0.001195938108306871,-4.983897221214963
SLC,0.018708667507124972,0.019950421901281844,-0.0012417543941568715,-6.637321410966143
MSP,0.022068356932121284,0.023325004199438816,-0.0012566472673175323,-5.694339960073951
DTW,0.022050584448167786,0.0233544893837975,-0.0013039049356297142,-5.913244334610176
EWR,0.02290042004625939,0.024216974660002485,-0.0013165546137430956,-5.7490413323582015
SAN,0.019756928320788295,0.021226955901938502,-0.0014700275811502066,-7.440567467177778
IAH,0.024771753684599836,0.026622444430357037,-0.001850690745757201,-7.47097185496295
SEA,0.024780776841618037,0.026658474812341557,-0.00187769797072352,-7.577236108151473
JFK,0.022412039615601464,0.02442286081618139,-0.002010821200579927,-8.972058032505684
BOS,0.027439209482114247,0.029484086253118102,-0.0020448767710038555,-7.452389517040466
LAS,0.031116172726361906,0.033477452543000906,-0.0023612798166390003,-7.588593357558086
DFW,0.037148176118852565,0.03971229085069736,-0.0025641147318447924,-6.902397371114845
PHX,0.03219082524960049,0.03479771579518881,-0.002606890545588318,-8.098240804251116
SFO,0.03278160054166498,0.0355743220748312,-0.0027927215331662245,-8.519173826234363
DEN,0.03673769143258716,0.039669149640277665,-0.0029314582076905016,-7.9794295541669005
ORD,0.04313293154160297,0.046672855713351266,-0.003539924171748296,-8.207010386794451
LAX,0.04580306277879207,0.04942399776553862,-0.003620934986746552,-7.905442926893379
